company,job_name,salary,city,work_year,education,job_description
NEXA招聘,Data Analyst 数据分析师,8k-15k,成都,经验1-3年,本科及以上,"<div>
        <p><strong>PLEASE APPLY THROUGH THIS LINK: https://nexa-corp.workable.com/jobs/94440<br>We will only accept candidates from our own website!<br>If you have any problem in uploading resume, please contact with jobs﹫nexa-corp.com</strong><br><br>Description:<br>● Involved in company data warehouse setup project to build robust data analysis system.<br>● Consistently report and monitor performance based on multiple data sources<br>● Build mathematical models based on in-game user behaviors and monetization aspects to help the Market Intelligence team put these models into practice<br>● Support other departments on relevant tasks as necessary<br><br>Requirements:<br>● At least a Bachelor's in Computer Science, Mathematics, Statistics, Economics or relevant<br>● 2+ years relevant, solid experience in data analysis. IT or game industry will be a plus<br>● Sensitive with business logic and figures<br>● Proficiency in SQL is a must. Other tools such as SPSS, SAS, MATLAB,R is a plus.<br>● Skills: Data Analysis, Statistical Analysis, Data Mining, Database Management, Critical Thinking, Analytical, Logical, Communication, Presentation, Time Management<br><br></p>
<p>Benefits:</p>
<p>●Competitive Salary &amp; Benefit System<br>●Professional Training for new member<br>●Diverse Career Paths<br>●Simple Interpersonal Relationship<br>●Optimistic and Positive Work Environment</p>

        </div>"
玛瑙湾风控部招聘,风控数据分析师,6k-12k,杭州,经验1-3年,硕士及以上,"<div>
        <p> 1、 实时跟踪公司贷款业务的数据变化，为公司风控决策、产品方向、信贷策略提供数据支持和方案； </p>
<p>2、 对公司新的信审政策的执行效果，进行跟踪与结果验证，及时反馈政策效果； </p>
<p>3、 对于部门内产品、需求提供数据支持，根据数据分析结果对于风险规则配置提供建议； </p>
<p>4、 对于公司的资产数据、逾期数据、vintage等风险指标数据进行日常监控； </p>
<p>5、 支持数据建模工作，包括不限于数据清洗，变量筛选，模型调优以及用户画像等相关工作。</p>
<p><br></p>
<p><br></p>
<p><br></p>
<p>任职要求： </p>
<p>1、 全日制大学硕士及以上学历，统计学、应用数学、信息与计算科学、运筹学、计算机科学等数学与计算机相关专业； </p>
<p>2、 具有风控数据分析相关经验，同行业及消费金融经验优先考虑； </p>
<p>3、 对小额贷款行业风险管理有一定的认知和实践；</p>
<p>4、 熟悉数理统计及数据分析常用算法，对数据敏感，能从海量数据中提炼出核心结果； </p>
<p>5、 熟练使用Excel、SQL语言及至少一种统计分析或数据挖掘工具（例如 R、python、SPSS、SAS等）； </p>
<p>6、 可考虑优秀的应届生。</p>

        </div>"
要出发招聘,数据分析专员（商业分析方向）,4k-8k,广州,经验1-3年,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、负责针对全国业务部门开展的各项合作项目（主要包含酒店/景区/渠道合作等项目）进行初步审核和风险评估；</p>
<p>2、根据项目分析和评估结果整理和撰写风险汇总报告，并给业务部门有指向性的建议和意见；</p>
<p>3、对正在进行中的项目进行实时监控，对优秀的项目进行总结，对落后的项目进行监督；</p>
<p>4、负责项目的合同审核和项目大款把控。</p>
<p><br></p>
<p>任职要求：</p>
<p>1、本科以上学历，数学、财务等相关专业；</p>
<p>2、1年以上风险管控、项目管理工作经验；</p>
<p>3、熟悉风险管理相关知识、项目合同管理运作流程和风险控制要点；</p>
<p>4、具备较强的风控意识、沟通技巧、逻辑分析判断能力、解决问题的能力，有良好的数据敏感度；</p>
<p>5、熟练使用各类办公软件。</p>

        </div>"
冲顶大会产品设计部招聘,产品运营/数据分析,10k-20k,北京,经验1-3年,本科及以上,"<div>
        <p>岗位职责:</p>
<p>1、负责日常数据监控、预警、分析、挖掘工作，对产品调优、产品运营提供有力数据支持；</p>
<p>2、定期进行运营、渠道以及市场分析，根据历史数据给出活动及功能制定建议，上线后分析总结，给出合理改进优化建议。</p>
<p>任职要求:</p>
<p>1、2年以上产品运营、数据分析工作经验，海量用户产品优先；</p>
<p>2、对数据敏感，熟悉数据收集、数据分析、数据建模和数据挖掘方法；</p>
<p>3、至少一款成功产品经验。</p>
        </div>"
北京信链研发部招聘,数据分析师,5k-10k,北京,经验1年以下,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、日常数据类报表及统计；</p>
<p>2、行业信息收集；</p>
<p>3、日常数字资产结算。</p>
<p> </p>
<p>岗位要求：</p>
<p>1、具备独立做数据报表的能力；</p>
<p>2、具有基础数据库查询能力；</p>
<p>3、有较强的逻辑思维；</p>
<p>4、为人诚实，务实；</p>
<p>5、有股票、数字货币及财务工作经验者优先。</p>
<p> </p>
<p>加分项：</p>
<p>shell Python脚本</p>
<p>SQL语句</p>
<p>Excel报表</p>
<p>SPSS</p>
<p>MATLAB</p>
<p><br></p>
<p>公司介绍：</p>
<p>坐标望京SOHO（地铁阜通站）；</p>
<p>团队技术一流，大牛众多，氛围超级好；来这里，你可以潜心做事，提升能力；</p>
<p>入职即上六险一金，10:00am上班，弹性工作制，扁平化管理，浓厚的互联网文化，同事善良友好，领导特别nice；</p>
<p>14-18薪，下班打车报销，年底全员出国旅游；</p>
<p>此外还有丰厚的下午茶+福利晚餐。还犹豫什么，赶快投简历吧！</p>
        </div>"
今日头条招聘,数据分析师（国际化运营）,12k-24k,北京,经验1-3年,本科及以上,"<div>
        职位职责：
<br>1、搭建国际化数据仓库，完成国际化的基础数据建设；
<br>2、辅助运营团队更好的管理运营流程，提供运营策略；
<br>3、擅长用户分层，监控社区生态；
<br>4、开发产品初期日报需求。
<br>
<br>职位要求：
<br>1、大学统计学，数学，计算机，信息管理相关专业本科及以上；
<br>2、具备良好的沟通协调能力,逻辑能力，对数据敏感；
<br>3、熟练使用hive,熟练使用sql与excel；
<br>4、态度端正，自我学习及抗压能力强；
<br>5、掌握基本统计方法(回归，聚类，决策树)；
<br>6、拥有1年以上海外运营分析经验。
        </div>"
美云智数数据云事业部招聘,高级数据分析师（房地产方向）,15k-30k,佛山,经验3-5年,本科及以上,"<div>
        <p>高级数据分析师（房地产方向）</p>
<p>岗位职责：</p>
<p>1、进行房地产市场相关研究（市场监测、专题研究、产品线研究等），形成房地产行业数据产品或者根据要求完成报告；</p>
<p>2、熟悉房地产市场动态，并结合国家宏观政策、经济，解读房地产业现状及未来；</p>
<p>3、根据部门业务开展情况配合与协助销售团队及咨询团队完成相关工作；</p>
<p>4、根据团队工作目标，制定工作计划，合理安排人员以及分配工作任务，整合内外部资源，确保工作有序高效开展；</p>
<p>任职要求：</p>
<p>1、本科及以上学历，房地产、经济学、统计学等相关专业优先；</p>
<p>2、三年及以上房地产相关工作经历，熟悉当地及周边区域房地产市场，对市场变化敏感，能及时准确把握市场动态；</p>
<p>3、思路清晰，对数据敏感，有较强的逻辑思维能力、熟悉数据处理，能运用SQL、Python或R更佳；；</p>
<p>4、熟悉房地产开发流程，具备房地产行业数据产品经验优先； </p>
<p>5、执行能力强，有优秀的管理协调及组织计划能力；</p>
<p>6、热爱数据工作，业务理解和分析能力强，做事认真细致、逻辑性强、善于学习钻研，具有良好的沟通表达能力，团队合作意识佳。</p>
        </div>"
NEXA招聘,数据分析师-Data Analyst,8k-15k,成都,经验不限,本科及以上,"<div>
        <p>PLEASE APPLY THROUGH THIS LINK: https://nexa-corp.workable.com/jobs/94440<br>We will only accept candidates from our own website!<br>If you have any problem in uploading resume, please contact with jobs﹫nexa-corp.com<br><br>Description:<br>● Involved in company data warehouse setup project to build robust data analysis system.<br>● Consistently report and monitor performance based on multiple data sources<br>● Build mathematical models based on in-game user behaviors and monetization aspects to help the Market Intelligence team put these models into practice<br>● Support other departments on relevant tasks as necessary<br><br>Requirements:<br>● At least a Bachelor's in Computer Science, Mathematics, Statistics, Economics or relevant<br>● 2+ years relevant, solid experience in data analysis. IT or game industry will be a plus<br>● Sensitive with business logic and figures<br>● Proficiency in SQL is a must. Other tools such as SPSS, SAS, MATLAB,R is a plus.<br>● Skills: Data Analysis, Statistical Analysis, Data Mining, Database Management, Critical Thinking, Analytical, Logical, Communication, Presentation, Time Management<br><br></p>
<p>Benefits:</p>
<p>●Competitive Salary &amp; Benefit System<br>●Professional Training for new member<br>●Diverse Career Paths<br>●Simple Interpersonal Relationship<br>●Optimistic and Positive Work Environment</p>

        </div>"
冲顶大会运营部招聘,数据分析师,15k-20k,北京,经验3-5年,本科及以上,"<div>
        <p>职位要求：</p>
<p>1、统计学、应用数学、计算机等相关专业，硕士及以上学历； <br>2、熟练掌握多种统计和挖掘方法，熟练使用SPSS、SAS等相关数据分析软件； <br>3、较强的数据敏感度，逻辑分析能力和文档写作能力； <br>4、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战； <br>5、两年以上数据分析经验，有独立完成项目经验者优先。</p>
<p>工作内容：<br></p>
<p>1、通过数据分析支持产品改进及新模式的探索； <br>2、构建用户行为建模，支持个性化项目； <br>3、构建数据评估体系； <br>4、构建业务数据分析体系，帮助确定各项业务数据指标； <br>5、负责用户行为数据分析，通过监控及分析，推动产品改进，运营调整； <br>6、负责构建用户数据模型，挖掘用户属性及用户喜好等需求，为个性化产品推荐提供支持； <br>7、负责构建产品、运营及活动用户行为评估体系，通过数据分析对产品、运营、市场提出建议并推动实施； <br>8、负责用户行为调研，通过海量数据的挖掘和分析，形成报告，汇报给决策层，支持战略规划 。</p>

        </div>"
易车公司ZNYY招聘,JTZNYY-数据分析师,11k-22k,北京,经验3-5年,本科及以上,"<div>
        <p>【职责描述】</p>
<p>1.根据业务需求搭建运营指标体系，提供反映产品和运营状况的数据报表；</p>
<p>2.运用各种算法进行数据分析建模，深入挖掘业务需求及痛点，通过数据分析为业务决策、产品优化、运营策略提供数据支持；</p>
<p>3.关注行业动态，比照行业竞争优势，运用大数据能力为投资项目的跟踪及战略决策提供支持；</p>
<p>4.支持业务部门及外部需求方的数据需求，包括渠道评估体系、智能投放策略、线索反作弊模型等等。</p>
<p> </p>
<p>【任职要求】</p>
<p>1.统计、数学、信息技术、计算机或其他相关专业统招本科以上学历，211或985院校优先；</p>
<p>2.3年以上工作经验，有IT大数据分析，咨询公司数据分析、互联网数据建模分析经验者优先；</p>
<p>3.熟悉分类、聚类、回归、决策树、神经网络、SVM等机器学习算法，具有丰富的算法模型应用经验；</p>
<p>4.精通Excel，能独立使用一种数据挖掘统计软件：SAS/R/Python/SQL等； </p>
<p>5.对数据驱动业务有深入理解，对数据与业务方面高度敏感，有较强的逻辑分析能力。 </p>

        </div>"
NEETS运营部招聘,数据分析师,9k-15k,苏州,经验1-3年,硕士及以上,"<div>
        <p>岗位职责：<br> 1. 能利用数据分析手段，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；<br> 2. 对海量数据进行挖掘，发现其潜在关系，为公司运营和产品策略提供数据支持及建议；<br> 3. 配合各部门给予数据支持，跟踪分析网站日、周、月数据，定期提供分析报表，建立监控指标体系，监控数据异常波动 ；<br> 4. 将提炼出有价值的数据，通过展现工具进行展现，撰写网站、App等平台运营分析报告。</p>
<p><br></p>
<p>任职要求：</p>
<p>1. 硕士或以上学历，数学，统计，计算机，传播学等相关专业者优先。</p>
<p>2. 两年以上数据分析/挖掘相关工作经验。</p>
<p>3. 具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具； <br> 4. 良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； <br> 5. 具备良好的沟通能力、逻辑思维能力，有独立开展分析研究项目经验 ；<br> 6. 良好的计划和执行能力、协调能力和人际沟通能力；<br> 7.积极主动，具备团队意识，具有高度的责任心，能够承受较强的工作压力。</p>
<p> </p>
        </div>"
